"category","subcategory","sum_revenue"
"Furniture","Chairs",235318
"Technology","Phones",221110
"Office Supplies","Storage",179736
"Technology","Accessories",125442
"Furniture","Tables",114532
"Technology","Machines",113978
"Technology","Copiers",95844
"Office Supplies","Paper",62148
"Furniture","Bookcases",59271
"Office Supplies","Appliances",55550
"Furniture","Furnishings",51695
"Office Supplies","Binders",45312
"Office Supplies","Supplies",37457
"Office Supplies","Art",22148
"Office Supplies","Envelopes",13809
"Office Supplies","Labels",10345
"Office Supplies","Fasteners",2459
