"first_visit","count_cust"
"2017-01-01",29
"2017-02-01",19
"2017-03-01",51
"2017-04-01",44
"2017-05-01",47
"2017-06-01",42
"2017-07-01",33
"2017-08-01",40
"2017-09-01",56
"2017-10-01",35
"2017-11-01",51
"2017-12-01",43
"2018-01-01",6
"2018-02-01",6
"2018-03-01",16
"2018-04-01",10
"2018-05-01",9
"2018-06-01",8
"2018-07-01",7
"2018-08-01",8
"2018-09-01",10
"2018-10-01",8
"2018-11-01",7
"2018-12-01",8
"2019-01-01",5
"2019-02-01",2
"2019-03-01",6
"2019-04-01",3
"2019-05-01",7
"2019-06-01",7
"2019-07-01",2
"2019-08-01",2
"2019-10-01",1
"2019-11-01",5
"2019-12-01",2
"2020-03-01",3
"2020-04-01",1
"2020-06-01",1
"2020-07-01",2
"2020-09-01",1
"2020-10-01",1
"2020-11-01",1
